cluster_id,size,names,addresses,lats,lngs,sources,urls
1,2,TEPPANYAKI FUJI | TEPPANYAKI FUJI テッパンヤキフジ,東京都 中野区 中野 5-55-6 ワールドホテル 1F-B | 東京都中野区中野５‐55‐6,35.708736 | 35.7088704564,139.666153 | 139.6661033342,tabelog | hotpepper,https://tabelog.com/tokyo/A1319/A131902/13313184/ | https://www.hotpepper.jp/strJ004421111/?vos=nhppalsa000016
2,2,にくやくし 中野店 | にくやくし 中野店,東京都 中野区 中野 5-55-8 | 東京都中野区中野５丁目55-8,35.708736 | 35.7086007626,139.666153 | 139.6660316845,tabelog | hotpepper,https://tabelog.com/tokyo/A1319/A131902/13298533/ | https://www.hotpepper.jp/strJ003941597/?vos=nhppalsa000016
3,2,ジンギスカン霧島 御徒町店 | ジンギスカン霧島 御徒町店,東京都 台東区 上野 3-27-3 ハトヤビル3号館 5F | 東京都台東区上野３-27-3ハトヤビル3号館5階,35.707185 | 35.7070330078,139.774248 | 139.7741264693,tabelog | hotpepper,https://tabelog.com/tokyo/A1311/A131101/13150036/ | https://www.hotpepper.jp/strJ001010732/?vos=nhppalsa000016
